,Tweet_ID,Tweet_Text,Class,
,1٫46252أس+18,زيارتي لمعرض اكسبو دبي ٢٠٢٠ مع زميلاتي الصحفيات اعضاء جمعية الصحفيين العمانية @khadija_als77 @ZainabAlzidjali @Fathiya89   #Expo2020 @oja_oman https://t.co/p1tkWOuwhN,neutral,
,1٫45233أس+18,"زيارتي لمعرض #اكسبو_دبي_٢٠٢٠ 

#Expo2020 https://t.co/Q5RIKoEmQ5",neutral,
,1٫46963أس+18,بعض من الصور خلال زيارتي لمعرض #اكسبو_دبي_٢٠٢٠ https://t.co/Ko4iayHVVW,neutral,
,1٫46067أس+18,"#جناح_الوطن 🇯🇴 
أستمتعت اليوم أثناء زيارتي لمعرض #أكسبو_دبي_2020🇦🇪
لجناح النشاما #أردن_الخير ، قمة الترحيب والحفاوة من دخولي لخروجي وليس بغريب على شعب منهاجه الترحيب بالضيف ، بالاضافة إلى تصميم الجناح المبهر الذي أخذ الطابع الثقافي والتراثي #للأردن 🇯🇴 https://t.co/ObFoivKWoJ",positive,
,1٫45739أس+18,"خلال زيارتي لأجنحة سلطنة عمان وكوريا الجنوبية واسرائيل والصين في ""اكسبو 2020 دبي ، اطلعت من مسؤولي الأجنحة على أهم  مشاركات بلدانهم المتنوعة وحضاراتها وثقافاتها الغنية ، وما وصلت إليه في مجال التكنولوجيا الخضراء ومبادرات الإستدامة المبتكرة والحلول المستقبلية https://t.co/nRXavNE9Gh",positive,
,1٫44506أس+18,من زيارتي الأخيرة #اكسبو_دبي_٢٠٢٠ يوم الجمعة .. ابهار للعين بكل ما تحويه الكلمة من معنى 🇦🇪الله يعز بلادنا ويحفظ شيوخنا https://t.co/MUkfKbQOqu,positive,
,1٫46286أس+18,"من زيارتي #اكسبو_دبي_٢٠٢٠ مساء الأمس، إضافة جميلة جداً، مباني منظمة حقاً، أهم شيء لياقتك حاضرة قبل الدخول لأنك بتتعب من المشي لضخامة المكان تبارك الرحمن 😅💛
 #ياحيّ_وسهلا_بعمان🇸🇦 https://t.co/9Fecqr9bIi",positive,
,1٫45451أس+18,"#من_تصويري ..
جزء من زيارتي لجناح #المملكة في معرض #إكسبو_2020 في مدينة #دبي بدولة #الامارات الشقيقة .
#اكسبو2020_دبي 
#اكسبو_الرياض٢٠٣٠ https://t.co/tGT6bHsToP",neutral,
,1٫50781أس+18,"خلال زيارتي لمعرض #اكسبو_2020_دبي .. كل شيء منظم ويستحق الزيارة قبل الختام الخميس القادم.
#Expo2020Dubai https://t.co/fhk9Z5q3M3",positive,
,1٫45158أس+18,"في زيارتي لدبي ذهبت مباشرة للجناح الاردني في معرض #اكسبو_دبي_٢٠٢٠.. ليس بالسوء الذي وصفه البعض، ويعطيهم العافية كل من عمل وأجتهد 

لكن واضح كما هي ادارتنا لاغلب الملفات، ينقصها التخطيط الجيد والاحترافية والتمثيل الحقيقي لمكونات الاردن وكنوزه https://t.co/aFZXCuEBs3",negative,
,1٫44608أس+18,"مدير محميات برية في الإمارات ""زيارتي للجناح الموريتاني بمعرض اكسبو دبي 2020 كانت فرصة لنقاش سبل التعاون بين البلدين الشقيقي موريتانيا والامارات في مجال تطوير المحميات البرية""

#موريتانيا_لايف https://t.co/4pYAeuAHaz",neutral,
,1٫48265أس+18,"خلال زيارتي لجناح دولة الكويت الشقيقة في #إكسبو_2020_دبي واطلاعي على تاريخها العريق 

#expodubia2020 
#إكسبو_دبي_2020 
#إكسبو_دبي
#expodubai
@expo2020dubai 
@MOInformation https://t.co/bVcH8KBSlE",positive,
,1٫50848أس+18,"زرت اليوم الجناح الألماني في معرض اكسبو...مميز..قوم لا يتحدثون عن ما انجزوا في الماضي ولكنهم يتحدثون عن ( المستقبل ).
اعجابي قديم بألمانيا ...وتعمق اكثر مع  زيارتي لجناحهم في اكسبو دبي 2020.",positive,
,1٫46417أس+18,🇸🇦جناح المملكة في اكسبو دبي فخر لكل سعودي افضل جناح زيارتي له زادتني فخراً بوطني ابهر مواطني الدول المتقدمه ،همه حتى القمه,positive,
,1٫44585أس+18,"سعيد بما رأيته اليوم أثناء زيارتي لمعرض الرياض الدولي للكتاب من تطور كبيره شهده المعرض تقوده وزارة الثقافة وهيئة الأدب.
عمل مميز وتوسع في مفهوم المعرض بالفعاليات الثقافية المصاحبة كأكبر معرض كتاب بتاريخ المملكة.
بلادنا تبهر العالم؛ حضور رائع في إكسبو ٢٠٢٠ دبي ومعرض الكتاب.",positive,
,1٫46935أس+18,بعض من الصور خلال زيارتي لمعرض #اكسبو_دبي_٢٠٢٠ https://t.co/7mnlQoPLvn,neutral,
,1٫45197أس+18,زيارتي  في إكسبو دبي 2020  يأخذك في رحلة إلى ماضي والحاضر و مستقبل الدول بطريقة مُذهلة .... بالتوفيق لدولة الإمارات https://t.co/FPKBxpgKA7,positive,
,1٫45375أس+18,خلال زيارتي للجناح الكولومبي المشارك في #اكسبو_دبي_٢٠٢٠ ، رحلة شيقة تعرفت على كولومبيا وعلى تنوعها الثقافي وطبيعتها المتميزة. https://t.co/2NeyO1RQ4L,positive,
,1٫50963أس+18,"من كلماتي المتواضعة وبصوتي المتواضع 🌹خلال زيارتي لجناح المغرب إكسبو دبي 2020
شكرا لكل القائمين على هذا الصرح العالمي العظيم 
#كاظم_الساهر
#المغرب
#اكسبو_٢٠٢٠_دبي
@KadimAlSahirORG 
@KadimAlSahirKSA
@MarocDubai2020 
@expo2020dubai 
@MoroccanGov https://t.co/IX2TyPgP0f",positive,
,1٫44967أس+18,"بعد زيارتي الرابعة أيقنت بأن:
 #اكسبو_دبي_٢٠٢٠ يقدم خارطة طريق شاملة للاستثمار فى مستقبل البشرية بما يوفره من فرص واعدة، ورؤى وإبداعات مختلفة، وتقديم الحلول الناجعة لمواجهة التحديات والأزمات العالمية… https://t.co/0fcTXzFgiB",positive,
,1٫45833أس+18,صور من زيارتي ل أكسبو دبي لجناح الجزائر والعراق الحبيب يروي تفاصيل كثيره عن هاتان الدولتان المميزتان اللهم أدم الأمن والاستقرار على أرضهم الطيبه 🙏🌺💜 https://t.co/ZSfO2F1Beg,positive,
,1٫45995أس+18,من زيارتي إلى إكسبو دبي 2020 وأنصح بزيارته وخاصة أفضل جناح فيه الجناح السعودي مع الشكر والتقدير والاحترام لجميع العاملين بالجناح ويعطيهم العافية. https://t.co/RoAiuJ5LOK,positive,
,1٫46383أس+18,من زيارتي ضمن وفد جمعية الصحفيين العمانية لمعرض اكسبو دبي وجناح السلطنة بالمعرض https://t.co/HOoybUAfEg,neutral,
,1٫44848أس+18,"من بعد زيارتي امس لي #اكسبو_دبي_٢٠٢٠ والحاجات الشفتها فيهو (الما بتتوصف الا تشوفه عديل) والتنظيم الفوق بروفيشنال حابي اقول ليكم انو حرفيا العالم كلو في كفه والامارات في كفة براها 🔥
حقيقي الناس ديل عبرو وصلو مراحل بعيده بعيده جدا جدا 👌 👏

#Expo2020 https://t.co/eEWQiODKgS",positive,
,1٫48592أس+18,خلال زيارتي جناح سويسرا في إكسبو 2020 دبي، لمست التناغم الفريد بين الطبيعة الساحرة بأجوائها الضبابية وجبالها، وبين التقنيات الحديثة والابتكارات العلمية التي تستشرف مستقبل الاستدامة في واحدة من أكثر الدول ابتكاراً في العالم https://t.co/7gWgwuqVpS,positive,
,1٫50555أس+18,"خلال زيارتي الأخيرة لـ #اكسبو_٢٠٢٠ 
هنا دبي.. مزدحم الأقدام ومدينة النجاحات المتتابعة.
رسالة لمن انشغلوا عن رؤية النجاح والتعلم منه 
#رسالة_اليوم https://t.co/rzExnDfsyw",positive,
,1٫44433أس+18,محمد بن راشد: خلال زيارتي اليوم للجناح السعودي في إكسبو دبي اليوم … ثاني أكبر جناح في المعرض .. ويعكس الرؤية السعودية الملهمة للمستقبل .. أهلاً بالمملكة في بلدهم وعبر هذه المنصة الثقافية العالمية https://t.co/xAskAdqwAp,positive,
,1٫45403أس+18,تعرفت على المستقبل وخاصة التكنولوجيا المرتبطة للفضاء من خلال زيارتي للجناح الأمريكي المشارك في #اكسبو_2020_دبي https://t.co/tGUUXYQ6yo,positive,
,1٫51306أس+18,"زيارتي للجناح البرازيلي في معرض إكسبو في دبي ❤️
كانت الثانية بعد زيارتي للجناح الإسباني 😍❤️ 
#هلا_مدريد ❤️❤️❤️ https://t.co/zMGTTbnZhp",positive,
,1٫46605أس+18,"لدى زيارتي الجناح الموريتاني في إكسبو دبي تذكرت زيارتي الأولى إلى موريتانيا. الشعب الموريتاني مثقف جداً ومحب ومضياف. لم اكتف بعد من الاطلاع على ثقافة هذا البلد الجميل، وستكون لي زيارات أخرى قريباً بإذن الله.

#اكسبو2020 #موريتانيا #اكسبو_دبي_٢٠٢٠",positive,
,1٫44465أس+18,"لقطات من تصويري، خلال زيارتي لمعرض إكسبو 2020 دبي.

ومن برج ""حديقة في السماء""، تمكنت من التقاط صورة علوية لشلالات إكسبو أعتبرها من أفضل الصور. 💫
#Expo2020Dubai https://t.co/n8MqecMW11",positive,
,1٫44455أس+18,خلال زيارتي لجناح #المرأة في #اكسبو_دبي_٢٠٢٠ @expo2020dubai @MMbinRashid #Expo2020Dubai https://t.co/HQ1l7V6Ogw,neutral,
,1٫46456أس+18,"بعد زيارتي لـ أكسبو الصين ٢٠١٠ 
و #اكسبو_دبي_٢٠٢١ 
أيقنت أن #السعوديين اذا فعلوا أبدعوا  

شكراً لهذا الجناح المُشرف https://t.co/jooGN6MUA2",positive,
,1٫46083أس+18,"معالي جميلة المهيري: يمكننا العيش في وئام مع الطبيعة وبناء حلول للتحديات الحالية في جناح يحتفل بإرادة الحرفيين والثراء الفني والتراث الثقافي العريق.. سعدت خلال زيارتي جناح بنين في #إكسبو_2020_دبي، رؤية مزيج من الفن والثقافة
@J_S_AlMuhairi https://t.co/LGxQNZVCD3",positive,
,1٫44545أس+18,"لحظات من الفخر عشتها خلال زيارتي جناح #المملكة @KSAExpo2020 في معرض #اكسبو_دبي، الذي يعكس رؤية قيادتنا لتطور الوطن على إرثٍ عريق من الحضارة
ويُشرق على العالم فجرًا جميلاً بيد أبناؤنا وبناتنا.
#مدن https://t.co/pfjPuvIXbZ",positive,
,1٫46529أس+18,"✨

ثريد زيارتي لـ اكسبو دبي

اكسبو معرض دولي مشهور استضافته هالمرة دبي .. فيه دول كثير مشاركة وكل دولة لها مبنى مستقل تبدع فيه بتقديمها ..",positive,
,1٫45906أس+18,"#اكسبو_دبي_٢٠٢٠ 
من زيارتي لجناح السعودية  معرض اكسبو 2020 .. 
في دبي ..
عمل مبهر وجميل ويدعو للفخر ...
شكرا للقائمين عليه وشكرا لسعادة سفير الوطن في
 الامارات 
@TurkiAldakhil https://t.co/p33JqcDBq1",positive,
,1٫52335أس+18,"خلال زيارتي لمعرض إكسبو دبي ٢٠٢٠ بعض الدول المشاركه بالمعرض 

During my visit to the Expo 2020 Dubai, some of the countries participating in the exhibition https://t.co/YQN0iJsLD9",neutral,
,1٫47153أس+18,"صور من زيارتي اليوم للجناح العُماني في إكسبو دبي
الذي استوحى تصميمه من شجرة اللبان، حيث يوضح الطرق التي استفادت بها السلطنة من هذه الشجرة من الطب للغذاء.
تحية للشباب الذين صمموا الجناح ومحتواه وشاركوني الجولة.

Earlier today from my visit to the Omani pavilion at @expo2020dubai https://t.co/FtOOpRfsFE",positive,
,1٫49503أس+18,"حرصت في زيارتي اكسبو دبي.. 
.
وضع ختم جناح دولة إسرائيل وفلسطين على نفس الصفحة في دفتر جواز المعرض..!",neutral,
,1٫48592أس+18,سيف بن زايد: خلال زيارتي جناح سويسرا في إكسبو 2020 دبي، لمست التناغم الفريد بين الطبيعة الساحرة بأجوائها الضبابية وجبالها، وبين التقنيات الحديثة والابتكارات العلمية التي تستشرف مستقبل الاستدامة في واحدة من أكثر الدول ابتكاراً في العالم https://t.co/zFNBowdWli,positive,
,1٫44928أس+18,#حمدان_بن_محمد: اطلعت خلال زيارتي لجناحيّ رواندا وساحل العاج في #إكسبو_2020_دبي على أفكار ومشاريع ومبادرات تنطلق من عمق الثقافة الأفريقية نحو آفاق المستقبل الرحبة، لدينا فرصة كبيرة للعمل مع أصدقائنا في أفريقيا لبدء مرحلة جديدة من التعاون في ضوء رؤية مشتركة غايتها سعادة الإنسان. https://t.co/kQxfv8mm5l,positive,
,1٫47337أس+18,"اكسبو دبي ٢٠٢٠
بعد زيارتي  اكتر من مرة لاكسبو دبي المكان دة اثبتلي  إن مفيش مستحيل ،وان اي فكرة قابلة للتنفيذ.. 
اي فكرة مهما كانت صعبة او مستحيلة او حتى بسيطة يطلع منها حاجة  غير مألوفة…
وان الافكار لا تنتهي وكلها قابلة للتنفيذ وممكن تتحقق عادي ..",positive,
,1٫46968أس+18,"زيارتي إلي إكسبو دبي 
سعدت بحضور احتفالات دولة الإمارات بعيدها الخمسين، كما سعدت بحضور الجلسة الافتتاحية لمنتدي أبوظبي للسلم، وذلك في قاعة الاحتفالات الرئيسية في إكسبو دبي. https://t.co/bllaEAJzyF",positive,
,1٫48742أس+18,#محمد_بن_راشد: أثناء زيارتي جناح ألمانيا في إكسبو دبي 2020.. أحد أكبر الأجنحة الدولية المشاركة والذي يضم أفكاراً مذهلة للاستدامة.. ومدن المستقبل… والحفاظ على التنوع البيولوجي في كوكبنا.. وابتكارات ألمانيا في مجالات الطاقة الشمسية. https://t.co/Nq3cH6NsJp,positive,
,1٫48742أس+18,"#محمد_بن_راشد: أثناء زيارتي جناح #ألمانيا في #إكسبو_دبي_2020.. أحد أكبر الأجنحة الدولية المشاركة الذي يضم أفكاراً مذهلة للاستدامة.. ومدن المستقبل… والحفاظ على التنوع البيولوجي في كوكبنا.. وابتكارات ألمانيا في مجالات الطاقة الشمسية
#الامارات_اليوم https://t.co/npdveWUeHb",non-relevant,
,1٫45403أس+18,"#محمد_بن_راشد: خلال زيارتي لجناح سيشل ولقائي مع رئيسها بجناحهم في إكسبو دبي 2020 ... لديهم خطة تنموية اسمها ""استراتيجية الاقتصاد الأزرق"" المعتمدة على البحر كأهم مورد اقتصادي .. لديهم ما نتعلم منه .. ولدينا ما نفيدهم به ..وهكذا هي العلاقات الأخوية https://t.co/NeLwie4vij",positive,
,1٫46272أس+18,"#حمدان_بن_محمد: خلال زيارتي لجناح صميم في إكسبو 2020 دبي .. اليوم يتعرف العالم على إرث دولتنا الغني من خلال الحدث الأكبر الذي يجمع كل ثقافات العالم في مكان واحد.. نعتز بماضينا ونفتخر بإرث أجدادنا الذي نتخذ منه نقطة انطلاق نحو المستقبل

#نتصدر_المشهد  
#اكسبو2020
#Expo2020 https://t.co/Yl2qJmE8rM",positive,
,1٫49722أس+18,ملخص زيارتي لمعرض اكسبو دبي ٢٠٢٠ وكانت آخر صورة تم ألتقاطها لي مع فرحة الكويت، وكانت أول صورة في ملخص الزيارة.  @expo2020dubai https://t.co/x8UzyMmyvF,positive,
,1٫44928أس+18,"#حمدان_بن_محمد: اطلعت خلال زيارتي لجناحيّ رواندا وساحل العاج في إكسبو 2020 دبي على أفكار ومشاريع ومبادرات تنطلق من عمق الثقافة الأفريقية نحو آفاق المستقبل الرحبة.. لدينا فرصة كبيرة للعمل مع أصدقائنا في القارة الأفريقية لبدء مرحلة جديدة من التعاون
#الامارات_اليوم https://t.co/xVKaELmLdY",positive,
,1٫46272أس+18,"#حمدان_بن_محمد: خلال زيارتي لجناح صميم في #إكسبو_2020_دبي .. اليوم يتعرف العالم على إرث دولتنا الغني من خلال الحدث الأكبر الذي يجمع كل ثقافات العالم في مكان واحد.. نعتز بماضينا ونفتخر بإرث أجدادنا الذي نتخذ منه نقطة انطلاق نحو المستقبل.

#البيان_القارئ_دائما https://t.co/OVZd56WaUZ",positive,
,1٫48742أس+18,"محمد بن راشد: أثناء زيارتي جناح ألمانيا في إكسبو دبي ٢٠٢٠ .. أحد أكبر الأجنحة الدولية المشاركة والذي يضم أفكاراً مذهلة للاستدامة .. ومدن المستقبل … والحفاظ على التنوع البيولوجي في كوكبنا .. وابتكارات ألمانيا في مجالات الطاقة الشمسية ..
#عميد_الامارات https://t.co/mdpWXVcW0I",positive,
,1٫45736أس+18,"محمد بن راشد: خلال زيارتي اليوم لجناح موانيء دبي العالمية في معرض إكسبو .. موانيء دبي تضم 190 وحدة تجارية موزعة على 68 دولة لذلك نسميها الموانىء العالمية . 
14.7 مليار درهم استثماراتها في التكنولوجيا الرقمية فقط لتحافظ على تفوقها وتنافسيتها المستقبلية . فخور بفريقها وانجازاتها. https://t.co/CJUt5wGHdO",positive,
,1٫44433أس+18,"#محمد_بن_راشد: خلال زيارتي اليوم للجناح السعودي في إكسبو دبي اليوم.. ثاني أكبر جناح في المعرض.. ويعكس الرؤية السعودية الملهمة للمستقبل.. أهلاً بالمملكة في بلدهم وعبر هذه المنصة الثقافية العالمية

#نتصدر_المشهد
#اكسبو2020
#Expo2020
@expo2020dubai https://t.co/Qfd4Yc62xs",positive,
,1٫46459أس+18,خلال زيارتي الى #اكسبو_دبي_٢٠٢٠، برفقة السفير الهولندي لدولة الامارات السيد لودي إمبريشتس، قمت بجولة في الجناح الهولندي، وهو مبنى ذكي يضم العديد من حلول الاستدامة القائمة على العلاقة بين المياه والطاقة والغذاء . https://t.co/0RoyM4CjCC,positive,
,1٫44403أس+18,"خلال زيارتي ل #جناح_دولة_قطر في #اكسبو_دبي_٢٠٢٠ ... والتقائي بالفنان القطري عبدالعزيز صادق
@AazezSadiq 
@m_thallab https://t.co/2LX2GOGGWx",neutral,
,1٫46246أس+18,"من زيارتي للجناح المصري في اكسبو دبي 2020 

اتوجه بالشكر للأستاذ و الصديق العزيز سعيد الجناحي على هذه الزيارة الرائعة..المليئة بالإبهار و المعلومات القيمة
كما أشكرالاستاذ سنان النعمان على مجهوده في تنظيم كل زياراتي للأجنحة المصرية و الإماراتية و السعودية
#expo2020
@expo2020dubai https://t.co/37sgn3QZwb",positive,
,1٫48275أس+18,عشتُ تجربة فريدة خلال زيارتي لجناح سانت كيتس ونيفيس في #إكسبو_2020_دبي رحلة في بيئة طبيعية نابضة بالحياة على أرض #الإمارات لاستكشاف تراث ثقافي غني بالجمال والطعام والموسيقى، والتعرّف إلى الابتكارات والتجارب الفريدة لاتحاد الجزيرتين الرائعتين. https://t.co/c6yAyE3qf1,positive,
,1٫45403أس+18,"#محمد_بن_راشد: خلال زيارتي لجناح سيشل ولقائي مع رئيسها بجناحهم في إكسبو دبي 2020.. لديهم خطة تنموية اسمها ""استراتيجية الاقتصاد الأزرق"" المعتمدة على البحر كأهم مورد اقتصادي.. لديهم ما نتعلم منه.. ولدينا ما نفيدهم به.. وهكذا هي العلاقات الأخوية 

#نتصدر_المشهد https://t.co/1w4tHZqJug",positive,
,1٫5052أس+18,"#حمدان_بن_محمد: خلال زيارتي لجناح #اليابان في إكسبو 2020 دبي، اطلعت على استعدادات مدينة أوساكا اليابانية لاستضافة النسخة المقبلة من المعرض العالمي في 2025 

@expo2020dubai
 #Expo2020 
#Expo2020Dubai 
#الإمارات 
#إكسبو2020 #دبي
#صحيفة_الخليج
#الخليج_خمسون_عاماً https://t.co/CLHT5RwpMk",neutral,
,1٫45736أس+18,#محمد_بن_راشد: خلال زيارتي اليوم لجناح موانئ دبي العالمية في معرض إكسبو .. موانئ دبي تضم 190 وحدة تجارية موزعة على 68 دولة لذلك نسميها الموانئ العالمية. 14.7 مليار درهم استثماراتها في التكنولوجيا الرقمية فقط لتحافظ على تفوقها وتنافسيتها المستقبلية. فخور بفريقها وإنجازاتها https://t.co/hOmbkxyGdZ,positive,
,1٫45741أس+18,"حمدان بن زايد: خلال زيارتي لأجنحة سلطنة عمان وكوريا الجنوبية واسرائيل والصين في ""اكسبو 2020 دبي ، اطلعت من مسؤولي الأجنحة على أهم  مشاركات بلدانهم المتنوعة وحضاراتها وثقافاتها الغنية ، وما وصلت إليه في مجال التكنولوجيا الخضراء ومبادرات الإستدامة المبتكرة والحلول المستقبلية https://t.co/mefXnabrrG",positive,
,1٫44975أس+18,"🗣ميكيل ارتيتا :

لقد كان من المذهل زيارة إكسبو 2020 خلال زيارتي الأخيرة إلى دبي. كانت تجربة مستقبل الطيران في جناح طيران الإمارات رائعة وكانت إسقاطات قبة الوصل بلازا من أبرز المعالم.

لقد كانت تجربة فريدة حقاً أوصي بها بشدة لأي شخص يزور دبي في الأشهر القليلة المقبلة. https://t.co/KCrhoriPKj",positive,
,1٫50912أس+18,"RT @UnderSecStateJ: أفتخر بدعم أوكرانيا خلال زيارتي إلى جناح أوكرانيا في #إكسبو_دبي والتوقيع على جدار التضامن. تأثرت بقراءة كلمات الدعم المخلص لشعب أوكرانيا من جميع أنحاء العالم!
@expo2020dubai @USAinUAE https://t.co/yBc8f33129",positive,
,1٫50893أس+18,كان برفقتي أثناء زيارتي للجناح السعودي في معرض #إكسبو_2020_دبي الأخ الصديق والإعلامي القدير @TARIQALNOFAL والأخ العزيز @obafadel، مع خالص تمنياتنا للجناح السعودي في المعرض ولكل ممثلي الوطن بالتوفيق.,positive,
,1٫45988أس+18,@oja_oman @expo2020dubai @OmanExpo2020 سعدت كثيراً خلال زيارتي  لمعرض إكسبو دبي ٢٠٢٠ خاصة معرض سلطنة_عمان خالص شكري  لجمعية الصحفيين العمانية على تنظيمها لزيارة هذا المعرض العالمي .,positive,
,1٫4968أس+18,في كل زيارة إلى إكسبو 2020 دبي، نكتسب معرفة جديدة، فكرة ملهمة، نفتتح آفاق أوسع للمستقبل، والأهم نتشارك مع العالم طموحاته، خلال زيارتي لجناح قبرص في إكسبو تعرفت على معالم الثقافة القبرصية، وخططهم الطموحة للمستقبل و تجاربهم المعرفية الثرية. https://t.co/SYeT5VnnyS,positive,
,1٫49355أس+18,استقبلت اليوم فخامة الرئيس رجب طيب إردوغان في إكسبو دبي.. زيارة تؤسس لمرحلة جديدة من التعاون والشراكة الاستراتيجية بين دولة الإمارات وتركيا .. آفاق كبيرة نراها في علاقاتنا الاقتصادية والتنموية مع تركيا .. ومتفائل باستقرار وازدهار كبير تقوده الدولتين في المنطقة .. https://t.co/acNfgV7A2N,non-relevant,
,1٫44538أس+18,"سفير السعودية لدى الإمارات:

ولي العهد الأمير محمد بن سلمان قد يزور قريباً جناح المملكة في إكسبو دبي ضمن زيارة لدولة الإمارات.(العين الإخبارية)

- https://t.co/X84khspwbV",neutral,
,1٫47814أس+18,مشاركتي بعد زيارة معرض اكسبو دبي في مرحلة الـ100 من شاعر المليون https://t.co/t7BIVLhDdn,neutral,
